"specimen","speedBL","alpha"
"1BL","se","19.9529216312414"
"1BL","se","20.2433866373387"
"1BL","se","20.6033340112665"
"1BL","se","20.8228070438548"
"1BL","se","21.2158156912726"
"1BL","se","21.5404345775796"
"1BL","se","21.7847671753691"
"1BL","se","21.9956098263156"
"1BL","se","22.4694938698259"
"1BL","se","22.7940836171917"
"1BL","se","23.0943072844585"
"1BL","se","23.4162408606117"
"1BL","se","23.8545444710074"
"1BL","se","24.1744677428395"
"1BL","se","24.3459103349692"
"1BL","se","24.5368544989295"
"1BL","se","24.6950307332527"
"1BL","se","25.1038881347481"
"1BL","se","25.3947471149545"
"1BL","se","25.6990367090184"
"1BL","se","25.884590938507"
"1BL","se","26.020544473121"
"1BL","se","25.9694034572482"
"1BL","se","25.6814679808181"
"1BL","se","25.1762240887292"
"1BL","se","25.1055948175776"
"1BL","se","24.9144941594905"
"1BL","se","24.8900742680814"
"1BL","se","24.8702991714245"
"1BL","se","24.8293382582367"
"2BL","se","37.1233555067219"
"2BL","se","37.2605971043874"
"2BL","se","37.3857634150763"
"2BL","se","37.5032312966249"
"2BL","se","37.6823931659028"
"2BL","se","37.9095693628756"
"2BL","se","38.0399930673719"
"2BL","se","38.4415453351468"
"2BL","se","38.7563007555364"
"2BL","se","39.1187217726698"
"2BL","se","39.3796907403315"
"2BL","se","39.5513830161146"
"2BL","se","39.7728145863228"
"2BL","se","40.1036876198222"
"2BL","se","40.2153480980338"
"2BL","se","40.3726656128789"
"2BL","se","40.5609282486624"
"2BL","se","40.8459401295857"
"2BL","se","41.0290918486352"
"2BL","se","41.1306200287624"
"2BL","se","41.2616985762058"
"2BL","se","41.375627035767"
"2BL","se","41.5137264434902"
"2BL","se","41.4370085806141"
"2BL","se","41.4216851339967"
"2BL","se","41.4295604101366"
"2BL","se","41.4992994942856"
"2BL","se","41.4815843093426"
"2BL","se","41.5627500988313"
"2BL","se","41.6332161225107"
"2BL","se","41.6944160016911"
"2BL","se","41.4930608904377"
"2BL","se","41.5196253671247"
"2BL","se","41.435561045365"
"2BL","se","41.4945426480639"
"2BL","se","41.3929869881097"
"2BL","se","41.4227582657197"
"2BL","se","41.3597932435437"
"2BL","se","41.4176570592317"
"2BL","se","41.2718835608535"
"2BL","se","41.1908734230553"
"2BL","se","41.0208809942458"
"2BL","se","40.7527665680279"
"2BL","se","40.6633999283632"
"2BL","se","40.6007545796314"
"2BL","se","40.4276851681955"
"2BL","se","40.3615212707086"
"2BL","se","40.2128067787744"
"2BL","se","40.0154200272453"
"2BL","se","39.9130805780021"
"3BL","se","33.761067109509"
"3BL","se","33.9109127127512"
"3BL","se","34.0110273859722"
"3BL","se","34.1532646164848"
"3BL","se","34.0648728437705"
"3BL","se","34.0721548193088"
"3BL","se","33.980177847716"
"3BL","se","34.1217557581693"
"3BL","se","33.9687112085617"
"3BL","se","33.7921388601021"
"3BL","se","33.691627847098"
"3BL","se","33.6040085488367"
"3BL","se","33.5083912867227"
"3BL","se","33.3315115787554"
"3BL","se","33.2605578943108"
"3BL","se","33.3599078699165"
"3BL","se","33.6577580196005"
"3BL","se","34.0163708672208"
"3BL","se","34.1711345832541"
"3BL","se","34.3870030695221"
"3BL","se","34.4676681867017"
"3BL","se","34.7728188046699"
"3BL","se","35.186069078422"
"3BL","se","35.6708205955856"
"3BL","se","36.0923235594789"
"3BL","se","36.4764461828755"
"3BL","se","36.7885872787683"
"3BL","se","37.2099510949151"
"3BL","se","37.3958163480545"
"3BL","se","37.5653064717252"
"3BL","se","37.8286131913819"
"3BL","se","38.0933345358203"
"3BL","se","38.5241424021169"
"3BL","se","38.9263170713713"
