specimen,speedBL,max_curvature_location,max_curvature,wavespeed,TL,TBF,headAmplitude,tailAmplitude,head_to_tailAmplitude,U,Re,St,wavelength
catshark10,2,131,7.22953642825419,1.54400005182237,15,2.42718446601942,0.0194896869162241,0.191532359686711,0.101756627173096,0.330670327981517,49600.5491972275,0.210882711041561,0.636128021350817
catshark10,3,186,8.14957876801764,1.64527577076714,15,2.40963855421687,0.0413616369290223,0.203981950906619,0.202771062563066,0.453813639513929,68072.0459270894,0.162464081223546,0.682789444868363
catshark10,4,195,6.84559544809101,1.71818353205907,15,2.88184438040346,0.0823128089167328,0.212252226928082,0.387806573848684,0.619976927733332,92996.5391599999,0.147992092940572,0.596209685624497
catshark10,5,192,8.25865353104878,2.5785173036665,15,4.42477876106195,0.0139171424604979,0.143182118716576,0.0971988861824737,0.76211999243394,114317.998865091,0.124694773293696,0.58274491062863
catshark10,6,195,7.22855863812824,2.58108551765941,15,3.78787878787879,0.0561732962525769,0.144838503713226,0.3878340000239,0.901817408219365,135272.611232905,0.0912541758813516,0.681406576662084
catshark2,0.5,139,10.089630323709,1.30019343769465,15.2,2.24719101123596,0.06064206832682,0.179922180316108,0.337046095263392,0.0802021965269962,12190.7338721034,0.766270346987568,0.578586079774118
catshark2,0.75,178,8.77216237754813,0.82506116722285,15.2,1.77304964539007,0.0729464681674413,0.207740409604507,0.35114241040689,0.132435628993158,20130.21560696,0.422747092169783,0.465334498313687
catshark2,1,188,8.34902746510234,1.09567646552702,15.2,1.89035916824197,0.0178395399112155,0.206083195315264,0.0865647482024175,0.155524919693509,23639.7877934134,0.380741756914486,0.579612850263795
catshark2,1.25,195,7.5254715393708,1.31219182649759,15.2,2.09205020920502,0.0717417693650076,0.193895517322623,0.370002207145595,0.211243141699371,32108.9575383043,0.291877650824332,0.627227693065846
catshark2,1.5,155,7.61838247839354,1.4142053251384,15.2,2.34192037470726,0.0649566316791729,0.188609491548372,0.34439746985116,0.23615254366619,35895.1866372608,0.284306395552492,0.603865673834098
catshark2,1.75,123,7.8539681614143,1.29372741232917,15.2,2.14592274678112,0.033287008676529,0.206197983541847,0.161432270601102,0.293843379594612,44664.193698381,0.228889660412503,0.602876974145392
catshark2,2,192,7.78279589195359,1.5594716703515,15.2,2.54452926208651,0.0150646874395995,0.158326090385292,0.0951497469743556,0.304404518574132,46269.4868232681,0.201165004111235,0.612872366448139
catshark2,3,194,8.77053515534094,1.864583919205,15.2,3.28947368421053,0.0658344256334681,0.142494662321801,0.462013275169507,0.461504205757733,70148.6392751754,0.154380675781537,0.566833511438321
catshark2,4,195,7.54553594358314,2.195919002103,15.2,3.73134328358209,0.0245365980319084,0.124290893717628,0.197412676810034,0.610374988439292,92776.9982427724,0.11549185998884,0.588506292563604
catshark2,5,188,8.50635404703157,1.82947870125602,15.2,3.37837837837838,0.0663621888495238,0.190610045012016,0.348156829013604,0.775183625490233,117827.911074515,0.126267932792296,0.541525695571781
catshark2,6,195,7.25688908693977,2.9488097007342,15.2,3.41296928327645,0.037416915542454,0.165679866990777,0.225838638224745,0.927804573491611,141026.295170725,0.0926380054421,0.86400124231512
catshark14,0.5,138,10.6978527689489,1.04959142659642,17,2.37529691211401,0.101306346601609,0.210017477562903,0.482371028245812,0.140765729270676,23930.1739760149,0.602455993018038,0.441877990597091
catshark14,0.75,138,8.98048054660069,1.25553025054605,17,2.2075055187638,0.0573353675794047,0.190466474131407,0.301026035373804,0.157223235777083,26727.9500821042,0.454624180834944,0.568755203497362
catshark14,1,195,10.3960381708588,1.16118299249071,17,2.10526315789474,0.0379918786709008,0.165851916812986,0.229071085827367,0.177576595833368,30188.0212916725,0.334264365436093,0.551561921433089
catshark14,1.25,195,10.631673310642,1.83756277164173,17,2.65957446808511,0.0284282452136609,0.124983722025449,0.227455581838668,0.232490204166693,39523.3347083379,0.243057972815733,0.690923602137292
catshark14,1.5,195,8.93279417408391,1.24133261790411,17,2.20264317180617,0.0125995000962427,0.180312705784496,0.0698758306655396,0.259346135679824,44088.84306557,0.260339231022874,0.563565008528464
catshark14,1.75,192,9.96866083845973,1.44863711685882,17,2.5062656641604,0.0180518824174256,0.164037818953143,0.110047076537771,0.29750242756255,50575.4126856336,0.234925142049569,0.57800620962667
catshark14,2,186,8.44013480843964,1.20875060920097,17,2.89855072463768,0.0460004269582399,0.164839790612412,0.279061425565632,0.369746811345682,62856.957928766,0.219678443674109,0.417018960174333
catshark14,3,192,7.82854765036335,1.53793195124564,17,3.21543408360129,0.0109214058714706,0.155056030721523,0.0704352215173443,0.522288153249892,88788.9860524817,0.162280754983796,0.478296836837395
